FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent
13757,"Taylor, Chris",LAN,LF/3B,223
22274,"Taylor, Samad",SEA,LF/CF,NC
19960,"Trammell, Taylor",NYA/LAN,LF/RF,NC
22165,"Vilade, Ryan",DEA,LF/RF,47
16496,"Wall, Forrest",MMN/ATN,LF,NC
27690,"Wiemer, Joey",CIN/MLN,LF,NC
19358,"Wilson, Weston",PHN,LF,92
18030,"Bader, Harrison",NYN,CF,422
23818,"Bae, Ji Hwan",PIN,CF/RF,77
23968,"Barrosa, Jorge",ARN,CF,NC
20321,"Fairchild, Stuart",CIN,CF,219
22532,"Freeman, Tyler",CLA,CF,346
18564,"Grisham, Trent",NYA,CF,187
19262,"Hampson, Garrett",KCA,CF/LF,223
24605,"Helman, Michael",MNA,CF,NC
16947,"Hill, Derek",MMN/SFN/TEA,CF/LF,170
24496,"Keirsey Jr, DaShawn",MNA,CF,NC
11038,"Kiermaier, Kevin",LAN/TOA,CF,271
26540,"Martinez, Angel",CLA,CF/LF,158
25690,"McCray, Grant",SFN,CF,130
19956,"Moniak, Mickey",LAA,CF,411
10323,"Ortega, Rafael",CHA,CF,NC
19948,"Pache, Cristian",MMN/BAA/PHN,CF,173
12434,"Pillar, Kevin",LAA/CHA,CF,298
23557,"Roller, Chris",MLN,CF,NC
28253,"Sanoja, Javier",MMN,CF/SS,NC
31349,"Scott II, Victor",SLN,CF,152
22557,"Siani, Michael",SLN,CF,312
22411,"Stevenson, Cal",PHN,CF,NC
17620,"Straw, Myles",CLA,CF,NC
22244,"Suwinski, Jack",PIN,CF/LF,259
11489,"Taylor, Michael",PIN,CF,282
29524,"Teodosio, Bryce",LAA,CF,NC
23792,"Thomas, Alek",ARN,CF,99
22261,"Thompson, Bubba",CIN,CF,NC
23788,"Adams, Jordyn",LAA,RF/CF,NC
25971,"Alcantara, Kevin",CHN,RF,NC
18289,"Anderson, Brian",ATN,RF/3B,NC
22766,"Berroa, Steward",TOA,RF,NC
7859,"Blackmon, Charlie",CON,RF,471
21270,"Bouchard, Sean",CON,RF/LF,95
15429,"Bryant, Kris",CON,RF/1B,139
21078,"Cabbage, Trey",HOA,RF,90
19296,"Call, Alex",WAN,RF,103
22707,"Campero, Gustavo",LAA,RF,48
26438,"Canzone, Dominic",SEA,RF/LF,176
14477,"Cave, Jake",CON,RF/LF,339
30162,"Colas, Oscar",CHA,RF/CF,NC
21626,"Conine, Griffin",MMN,RF/LF,86
27471,"DeLoach, Zach",CHA,RF/LF,70
26365,"DeLuca, Jonny",TBA,RF/CF,348
21871,"Encarnacion, Jerar",SFN,RF,118
26149,"Fletcher, Dominic",CHA,RF/CF,234
12160,"Gamel, Ben",HOA/NYN,RF/LF,85
5760,"Garcia, Avisail",MMN,RF,52
27784,"Gentry, Tyler",KCA,RF,NC
29715,"Goodman, Hunter",CON,RF/CA,221
14274,"Haniger, Mitch",SEA,RF,399
25111,"Hensley, David",MMN,RF,54
4940,"Heyward, Jason",HOA/LAN,RF,239
20450,"Hicklen, Brewer",MLN,RF,NC
5297,"Hicks, Aaron",LAA,RF,59
27493,"Hinds, Rece",CIN,RF,48
13768,"Jankowski, Travis",TEA,RF/LF,199
20002,"Johnson, Bryce",SDN,RF,66
